2025-10-18 00:13:23,671 - INFO - [INFO] - Starting comprehensive dataset reset
2025-10-18 00:13:23,673 - INFO - [INFO] - Starting reset of document_generated field in tickers collection
2025-10-18 00:13:26,971 - INFO - [INFO] - Successfully updated 91 documents in tickers collection
2025-10-18 00:13:26,972 - INFO - [INFO] - Reset of document_generated field completed
2025-10-18 00:13:26,972 - INFO - [INFO] - Starting reset of task_completed field in pipeline collection
2025-10-18 00:13:27,277 - INFO - [INFO] - Successfully updated 2 documents in pipeline collection
2025-10-18 00:13:27,279 - INFO - [INFO] - Reset of task_completed field completed
2025-10-18 00:13:27,279 - INFO - [INFO] - Starting deletion of tickers with recurrence 'once'
2025-10-18 00:13:27,569 - INFO - [INFO] - Successfully deleted 0 documents with recurrence 'once' from tickers collection
2025-10-18 00:13:27,569 - INFO - [INFO] - Deletion of once tickers completed
2025-10-18 00:13:27,570 - INFO - [INFO] - Starting deletion of pipeline documents with recurrence 'once'
2025-10-18 00:13:27,862 - INFO - [INFO] - Successfully deleted 0 documents with recurrence 'once' from pipeline collection
2025-10-18 00:13:27,863 - INFO - [INFO] - Deletion of once pipeline documents completed
2025-10-18 00:13:27,863 - INFO - [INFO] - Starting deletion of all weigh_factors documents
2025-10-18 00:13:28,156 - INFO - [INFO] - Successfully deleted 15 documents from 'weight_factors'.
2025-10-18 00:13:28,157 - INFO - [INFO] - All reset operations completed successfully
2025-10-18 00:16:26,873 - ERROR - [ERR-0404] - [ad2a2f2b] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:27,017 - ERROR - [ERR-0104] - [d8f36184] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:27,076 - ERROR - [ERR-0104] - [7a15359c] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:27,105 - ERROR - [ERR-0404] - [c1262f58] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:27,133 - ERROR - [ERR-0404] - [7279c471] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:27,133 - ERROR - [ERR-0104] - [430bfec5] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:27,165 - ERROR - [ERR-0104] - [01266c58] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:27,226 - ERROR - [ERR-0404] - [291084a8] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:27,227 - ERROR - [ERR-0404] - [83722a44] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:27,326 - ERROR - [ERR-0104] - [08a30ea9] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:27,355 - ERROR - [ERR-0404] - [083769b6] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:27,395 - ERROR - [ERR-0104] - [66ba3fa9] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:27,422 - ERROR - [ERR-0404] - [86d0317a] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:27,451 - ERROR - [ERR-0104] - [62e7b303] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:27,479 - ERROR - [ERR-0404] - [0d93ee64] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
2025-10-18 00:16:27,507 - ERROR - [ERR-0104] - [b8bf6807] Error getting AI weights | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: helpers.py:get_ai_weights()
2025-10-18 00:16:27,535 - ERROR - [ERR-0404] - [d30a7dc6] Error in fx_long_short | Exception: ValueError: Invalid GEMINI_API_KEY format: invalid character '‘' (U+2018) (<unknown>, line 1) | From: fx_long_short.py:run_fx_model()
